OCHA_VNAME,VDC_CODE,VDC_NAME
Jirmale,524 1 01 03 5 012,Jirmale
Jogmai,524 1 01 03 5 001,Jogmai
Kanyam,524 1 01 03 5 013,Kanyam
Kolbung,524 1 01 03 5 014,Kolbung
Laxmipur,524 1 01 03 5 022,Lammipur
Lumde,524 1 01 03 5 036,Lumde
Mabu,524 1 01 03 5 041,Mabu
Mahamai,524 1 01 03 5 047,Mahmai
Maimajhuwa,524 1 01 03 5 024,Maimjhuba
Maipokhari,524 1 01 03 5 025,Maipokhari
Mangalbare,524 1 01 03 5 030,Mangalbare
Namsaling,524 1 01 03 5 002,Namsaling
NayaBazar,524 1 01 03 5 006,Nayabazar
Panchakanya,524 1 01 03 5 007,Panchakanya
PasupatiNagar,524 1 01 03 5 008,Pashupatinagar
Puwamajhuwa,524 1 01 03 5 026,Puwamjhuba
Pyang,524 1 01 03 5 003,Pyang
Sakfara,524 1 01 03 5 048,Sakfara
Sakhejung,524 1 01 03 5 027,Sakhejung
Samalbung,524 1 01 03 5 015,Samalbung
Sangrumba,524 1 01 03 5 031,Sangrumba
ShantiDanda,524 1 01 03 5 032,Shantidanda
Shantipur,524 1 01 03 5 016,Shantipur
Siddhithumka,524 1 01 03 5 039,Siddhithumka
Sopak,524 1 01 03 5 040,Soyak
Soyang,524 1 01 03 5 004,Soyang
ShreeAntu,524 1 01 03 5 010,Sriantu
Sulubung,524 1 01 03 5 044,Sulubung
Sumbek,524 1 01 03 5 043,Sumbek
Anarmani,524 1 01 04 5 012,Anarmani
Arjundhara,524 1 01 04 5 013,Arjundhara
Bahundangi,524 1 01 04 5 018,Bahundangi
Baigundhura,524 1 01 04 5 033,Baigundhura
Balubari,524 1 01 04 5 007,Baluwadi
Baniyani,524 1 01 04 5 001,Baniyani
Bhadrapur N.P.,524 1 01 04 3 002,Bhadrapur Municipality
Budhabare,524 1 01 04 5 017,Budhabare
Chakchaki,524 1 01 04 5 029,Chakchaki
Chandragadhi,524 1 01 04 5 020,Chandragadi
Charpane,524 1 01 04 5 032,Charpane
Dangibari,524 1 01 04 5 023,Daagibari
Damak N.P.,524 1 01 04 3 003,Damak Municipality
Dhaijan,524 1 01 04 5 019,Dhaijan
Ghailadubba,524 1 01 04 5 024,Dhailadubba
Dharampur,524 1 01 04 5 034,Dharampur
Duwagadhi,524 1 01 04 5 021,Duwagadi
Garamani,524 1 01 04 5 014,Garamuni
Gauradaha,524 1 01 04 5 040,Gauradaha
Gauriganj,524 1 01 04 5 041,Gauriganj
Gherabari,524 1 01 04 5 031,Gherawari
Goldhap,524 1 01 04 5 009,Goldhap
Haldibari,524 1 01 04 5 008,Haldiwari
Jalthal,524 1 01 04 5 004,Jalthal
Juropani,524 1 01 04 5 042,Juropani
Jyamirgadhi,524 1 01 04 5 022,Jyamirgadi
Kechana,524 1 01 04 5 002,Kechna
Khajurgachhi,524 1 01 04 5 043,Khajurgachi
Khudunabari,524 1 01 04 5 011,Khudnawari
Kohabara,524 1 01 04 5 046,Kohwora
Korobari,524 1 01 04 5 044,Korabari
Kumarkhod,524 1 01 04 5 025,Kumarkhod
Lakhanpur,524 1 01 04 5 047,Lakhanpur
Mahabhara,524 1 01 04 5 035,Mahabhara
Maharanijhoda,524 1 01 04 5 045,Maharanijhora
Maheshpur,524 1 01 04 5 003,Maheshpur
Mechinagar N.P.,524 1 01 04 3 001,Mechinagar Municipality
Panchgachhi,524 1 01 04 5 036,Pachgachi
Pathamari,524 1 01 04 5 005,Pathamari
Pathariya,524 1 01 04 5 010,Pathriya
Prithivinagar,524 1 01 04 5 006,Pathvinagar
Rajgadh,524 1 01 04 5 030,Rajgad
Satasidham,524 1 01 04 5 037,Sattashidham
Sanischare,524 1 01 04 5 015,Shanishchare
Shantinagar,524 1 01 04 5 016,Shantinagar
Sharanamati,524 1 01 04 5 026,Sharnamti
Shivaganj,524 1 01 04 5 038,Shiwganj
Surunga,524 1 01 04 5 027,Surung
Tagandubba,524 1 01 04 5 028,Taanghandubba
Topgachchi,524 1 01 04 5 039,Topgachi
Amahibariyati,524 1 02 05 5 032,Amahivariyati
Amardaha,524 1 02 05 5 011,Amardaha
Amgachhi,524 1 02 05 5 004,Amgachi
BabiyaBirta,524 1 02 05 5 025,Babiyabirta
Bahuni,524 1 02 05 5 021,Bahuni
Warangi,524 1 02 05 5 034,Barangi
Baradanga,524 1 02 05 5 005,Bardaga
Bayarban,524 1 02 05 5 023,Bayarwan
Belbari,524 1 02 05 5 041,Belbari
Bhaudaha,524 1 02 05 5 051,Bhaudaha
Bhogateni,524 1 02 05 5 038,Bhogteni
Biratnagar U.M.N.P.,524 1 02 05 2 001,Biratnagar Sub Metropolitan
Budhanagar,524 1 02 05 5 055,Budhanagar
Dainiya,524 1 02 05 5 003,Daaeniya
Dadarbairiya,524 1 02 05 5 027,Dadarbairiya
Dangihat,524 1 02 05 5 042,Dangihaat
Dangraha,524 1 02 05 5 058,Dangraha
Darbesha,524 1 02 05 5 026,Darbesa
Dulari,524 1 02 05 5 046,Dulari
Govindapur,524 1 02 05 5 009,Gobindapur
Haraicha,524 1 02 05 5 044,Haraincha
Hasandaha,524 1 02 05 5 012,Hasandaha
Hathimudha,524 1 02 05 5 059,Hathimudha
Hoklabari,524 1 02 05 5 024,Hoklawari
Indrapur,524 1 02 05 5 048,Indrapur
Itahara,524 1 02 05 5 010,Itahara
Jante,524 1 02 05 5 019,Jate
Jhorahat,524 1 02 05 5 062,Jhorahat
Jhurkiya,524 1 02 05 5 006,Jhurkiya
Kathamaha,524 1 02 05 5 028,Kadmaha
Kaseni,524 1 02 05 5 043,Kashini
Katahari,524 1 02 05 5 052,Katahari
Kerabari,524 1 02 05 5 039,Kerabari
Keroun,524 1 02 05 5 022,Keraun
Lakhantari,524 1 02 05 5 063,Lakhantari
Letang,524 1 02 05 5 040,Letang
Madhumalla,524 1 02 05 5 017,Madhumalla
Mahadewa,524 1 02 05 5 007,Mahadewa
Majhare,524 1 02 05 5 054,Majhare
Matigachha,524 1 02 05 5 053,Mathigachha
Motipur,524 1 02 05 5 049,Motipur
Mrigauliya,524 1 02 05 5 045,Mrigauliya
Necha,524 1 02 05 5 031,Nocha
Pathari,524 1 02 05 5 014,Pathari
Patigaun,524 1 02 05 5 036,Patigaun
Pokhariya,524 1 02 05 5 030,Pokhariya
Rajghat,524 1 02 05 5 015,Rajghat
RamiteKhola,524 1 02 05 5 020,Ramitekhola
Rangeli,524 1 02 05 5 001,Rangoli
Sanischare,524 1 02 05 5 013,Shanishchare
Sidharaha,524 1 02 05 5 065,Sidraha
Sijuwa,524 1 02 05 5 008,Sijuwa
SinhadeviSombare,524 1 02 05 5 035,Singhdevi
Sisabanibadahara,524 1 02 05 5 057,Sisbani Badhara
Sisawanijahada,524 1 02 05 5 029,Sisvani Jahada
Sorabhag,524 1 02 05 5 033,Sorabhag
Sundarpur,524 1 02 05 5 047,Sundarpur
Takuwa,524 1 02 05 5 002,Takuwa
Tandi,524 1 02 05 5 018,Tandi
Tankisinuwari,524 1 02 05 5 056,Tankisinuwari
Tetariya,524 1 02 05 5 064,Tetaria
Thalaha,524 1 02 05 5 050,Thalaha
Urlabari,524 1 02 05 5 016,Urlawari
Baijanathpur,524 1 02 05 5 061,Vaijanathpur
Banigama,524 1 02 05 5 060,Vanigama
Yangshila,524 1 02 05 5 037,Yangsila
Amaduwa,524 1 02 06 5 020,Amaduba
Amahibelaha,524 1 02 06 5 019,Amahibela
Aurabarni,524 1 02 06 5 035,Aurabani
Babiya,524 1 02 06 5 028,Babiyabirta
Bakalauri,524 1 02 06 5 006,Bakloura
Barahachhetra,524 1 02 06 5 001,Baraha Chhetra
Basantapur,524 1 02 06 5 045,Bashntapur
BhadgauSinawari,524 1 02 06 5 024,Bhadgaun Sinuwari
Bhaluwa,524 1 02 06 5 014,Bhaluwa
Bharaul,524 1 02 06 5 004,Bharaul
Bhokraha,524 1 02 06 5 038,Bhokraha
Chadwela,524 1 02 06 5 027,Chandbela
Chhitaha,524 1 02 06 5 015,Chhitaha
Chimdi,524 1 02 06 5 017,Chimdi
Dewanganj,524 1 02 06 5 032,Dewangunj
Dharan N.P.,524 1 02 06 3 001,Dharan Municipality
Dhuskee,524 1 02 06 5 047,Dhuskighat
Duhabi,524 1 02 06 5 011,Duhavi
Dumaraha,524 1 02 06 5 049,Dumraha
Aekamba,524 1 02 06 5 036,Ekamba
Gautampur,524 1 02 06 5 031,Gautampur
Hanshposha,524 1 02 06 5 007,Hansposa
Harinagar,524 1 02 06 5 046,Harinagar
Inaruwa N.P.,524 1 02 06 3 003,Inarwa Municipality
Itahari N.P.,524 1 02 06 3 002,Itahari Municipality
Jalpapur,524 1 02 06 5 029,Jalpapur
Kaptanganj,524 1 02 06 5 033,Kaptangunj
Khanar,524 1 02 06 5 008,Khanar
Koshi Tappu Wildlife Reserve,524 1 02 06 9 001,Koshi Tappu Wildlife Reserve
PaschimKasuha,524 1 02 06 5 039,Kusahapaschim
Laukahi,524 1 02 06 5 040,Lokahi
Madhelee,524 1 02 06 5 009,Madhali
Madhesa,524 1 02 06 5 026,Madhesa
Madhuwan,524 1 02 06 5 037,Madhuban
Madhyeharsahi,524 1 02 06 5 025,Madhyaharshahi
Mahendranagar,524 1 02 06 5 005,Mahendranagar
Narshinhatappu,524 1 02 06 5 043,Narshigha
Pakali,524 1 02 06 5 023,Pakali
Panchakanya,524 1 02 06 5 003,Panchakanya
Prakashpur,524 1 02 06 5 048,Prakashpur
Purbakushaha,524 1 02 06 5 016,Purba Kusahha
RamganjBelgachhi,524 1 02 06 5 018,Ramgunjbelgachhiya
RamnagarBhutaha,524 1 02 06 5 044,Ramnagar Bhutaha
Santerjhora,524 1 02 06 5 030,Satterjhora
Sahebganj,524 1 02 06 5 034,Shahebgunj
Haripur,524 1 02 06 5 042,Shreeharipur
Sripurjabdi,524 1 02 06 5 041,Shreepurjavdi
Simariya,524 1 02 06 5 012,Simaria
Singiya,524 1 02 06 5 022,Singiya
RamganjSenuwari,524 1 02 06 5 021,Sinwari Rajgunj
Sonapur,524 1 02 06 5 010,Sonapur
Tanamuna,524 1 02 06 5 013,Tanmuna
Bishnupaduka,524 1 02 06 5 002,Vishnupaduka
Ahale,524 1 02 07 5 002,Aahale
Ankhisalla,524 1 02 07 5 016,Aakhi Salla
Basantatar,524 1 02 07 5 012,Bashantatar
Belhara,524 1 02 07 5 001,Belhara
Vedetar,524 1 02 07 5 003,Bhedetar
Bhirgaun,524 1 02 07 5 017,Bhirgaun
BudiMorang,524 1 02 07 5 004,Bhudhemorang
Bodhe,524 1 02 07 5 007,Bodhe
Budhabare,524 1 02 07 5 013,Budhbare
Chanuwa,524 1 02 07 5 025,Chanuwa
Chhintang,524 1 02 07 5 035,Chintang
Chungwang,524 1 02 07 5 033,Chungbang
DandaBazar,524 1 02 07 5 008,Dadhabazaar
Dandagaun,524 1 02 07 5 026,Dadhagaun
Dhankuta N.P.,524 1 02 07 3 001,Dhankuta Municipality
Ghorlikharka,524 1 02 07 5 029,Ghorlikharka
Hathikharka,524 1 02 07 5 021,Hattikharka
ArkhauleJitpur,524 1 02 07 5 022,Jeetpur
Khoku,524 1 02 07 5 034,Khoku
Khuwafok,524 1 02 07 5 009,Khuwafok
Kurule,524 1 02 07 5 014,Kuruletenupa
Leguwa,524 1 02 07 5 027,Leguwa
Mahabharat,524 1 02 07 5 005,Mahabharat
MarekKatahare,524 1 02 07 5 028,Marek Katahare
Mounabudhuk,524 1 02 07 5 010,Monabhudhuk
Mudebas,524 1 02 07 5 015,Mudhebaas
Muga,524 1 02 07 5 030,Muga
Murtidhunga,524 1 02 07 5 023,Murtidhunga
Pakhribas,524 1 02 07 5 031,Pakhribash
Parewadin,524 1 02 07 5 018,Parewadin
Faksib,524 1 02 07 5 006,Phakshiwo
Falate,524 1 02 07 5 032,Phalate
RajaRani,524 1 02 07 5 011,Rajarani
Sanne,524 1 02 07 5 024,Saanyea
Tankhuwa,524 1 02 07 5 019,Tankhuwa
Telia,524 1 02 07 5 020,Teliya
Ambung,524 1 02 08 5 001,Aabung
Angdeem,524 1 02 08 5 013,Aangdim
Basantapur,524 1 02 08 5 009,Basantapur
ChhateDhunga,524 1 02 08 5 024,Chatedhunga
Chuhandanda,524 1 02 08 5 021,Chuhandadha
Dangapa,524 1 02 08 5 010,Dankpa
Eseebu,524 1 02 08 5 027,Esabu
Ewa,524 1 02 08 5 026,Ewa
Hamarjung,524 1 02 08 5 014,Hamarjhung
Hwaku,524 1 02 08 5 025,Hawaku
Jaljale,524 1 02 08 5 018,Jaljale
Jirikhinti,524 1 02 08 5 005,Jirikhimti
Khamlalung,524 1 02 08 5 028,Khamlalung
Morahang,524 1 02 08 5 030,Morahang
Myanglung,524 1 02 08 5 002,Myanglung
Okhare,524 1 02 08 5 015,Okhre
Oyakjung,524 1 02 08 5 019,Oyakjhung
PanchakanyaPokhari,524 1 02 08 5 016,Panchakanyapokhari
Pouthak,524 1 02 08 5 031,Pawthak
Phakchamara,524 1 02 08 5 017,Phakchamara
Phulek,524 1 02 08 5 011,Phulake
Piple,524 1 02 08 5 006,Piple
Sabla,524 1 02 08 5 003,Sabla
Samdu,524 1 02 08 5 029,Samdru
SankrantiBazar,524 1 02 08 5 022,Sankrantibazaar
Simle,524 1 02 08 5 020,Simle
Solma,524 1 02 08 5 007,Solma
ShreeJung,524 1 02 08 5 032,Srijung
Sudap,524 1 02 08 5 012,Sudap
Sungnam,524 1 02 08 5 008,Sungnam
Tamfula,524 1 02 08 5 004,Tamphula
Thoklung,524 1 02 08 5 023,Thoklung
Ankhibhui,524 1 02 09 5 021,Aakhibhuie
Bala,524 1 02 09 5 006,Bala
Bana,524 1 02 09 5 020,Bana
Baneswor,524 1 02 09 5 031,Baneshwor
Bahrabise,524 1 02 09 5 015,Bharabishebazaar
Chainpur,524 1 02 09 5 032,Chainpur
Chepuwa,524 1 02 09 5 011,Cheapuwa
Dhupu,524 1 02 09 5 016,Dhupu
Diding,524 1 02 09 5 001,Diding
Hatiya,524 1 02 09 5 012,Hatiya
Jaljala,524 1 02 09 5 019,Jaljala
Khadbari N.P.,524 1 02 09 3 001,Khandbari Municipality
Kharang,524 1 02 09 5 033,Kharang
Keemathnka,524 1 02 09 5 013,Kimathanka
MadiMulkharka,524 1 02 09 5 027,Madi Mulkharka
MadiRambeni,524 1 02 09 5 028,Madirambeni
Makalu,524 1 02 09 5 007,Makalu
Mamling,524 1 02 09 5 029,Mamling
Mangtewa,524 1 02 09 5 003,Mangtewa
MatsyaPokhari,524 1 02 09 5 017,Matshyapokhari
Mawadin,524 1 02 09 5 023,Mawadin
Num,524 1 02 09 5 008,Noom
Nundhaki,524 1 02 09 5 024,Noondhaki
Pathibhara,524 1 02 09 5 009,Pathibhara
Pawakhola,524 1 02 09 5 014,Pawakhola
SabhaPokhari,524 1 02 09 5 018,Shavapokhari
Syabun,524 1 02 09 5 022,Shyaboon
Siddhakali,524 1 02 09 5 026,Siddhakali
Siddhapokhari,524 1 02 09 5 025,Siddhapokhari
Sisuwakhola,524 1 02 09 5 004,Sishubakhola
Sitalpati,524 1 02 09 5 002,Sitalpati
Tamafok,524 1 02 09 5 030,Tamaphok
Tamku,524 1 02 09 5 005,Tamphu
Yafu,524 1 02 09 5 010,Yafu
Aamtep,524 1 02 10 5 027,Aangtep
Annapurna,524 1 02 10 5 034,Annapurna
Baikuntha,524 1 02 10 5 050,Baikhunthe
Walangkha,524 1 02 10 5 042,Balankha
Basikhola,524 1 02 10 5 051,Bashikhora
Bhaisipankha,524 1 02 10 5 021,Bhaisepankhya
Bhojpur,524 1 02 10 5 022,Bhojpur
Bhulke,524 1 02 10 5 052,Bhulke
Bokhim,524 1 02 10 5 023,Bokhim
Boya,524 1 02 10 5 008,Boya
Champe,524 1 02 10 5 015,Champya
Charambi,524 1 02 10 5 016,Charambi
Chaukidada,524 1 02 10 5 002,Chawki Dadha
Chhinamakhu,524 1 02 10 5 035,Chhinamakhu
Thidingkha,524 1 02 10 5 046,Chidinnkha
Changre,524 1 02 10 5 029,Chyengre
Kota,524 1 02 10 5 038,Coat
Dalgaun,524 1 02 10 5 053,Dalgaun
Deurali,524 1 02 10 5 009,Deurali
Dewantar,524 1 02 10 5 057,Dewantar
Dhotlekhani,524 1 02 10 5 054,Dhodelekhani
Dobhane,524 1 02 10 5 001,Dobhane
Dummana,524 1 02 10 5 043,Drummana
Gogane,524 1 02 10 5 036,Gogane
Gupteshwor,524 1 02 10 5 024,Gupteshwor
Hasanpur,524 1 02 10 5 058,Hassanpur
Helauchha,524 1 02 10 5 019,Helauchha
Homtang,524 1 02 10 5 059,Hometang
Jarayotar,524 1 02 10 5 017,Jarayotar
Keurepani,524 1 02 10 5 010,Keurepani
Khawa,524 1 02 10 5 037,Khaba
Khartimchha,524 1 02 10 5 004,Khartamchha
Khatamma,524 1 02 10 5 003,Khatamma
Khairang,524 1 02 10 5 060,Kherang
Keemalung,524 1 02 10 5 011,Kimalung
KudakKaule,524 1 02 10 5 005,Kudakkaule
Kulunga,524 1 02 10 5 006,Kulung
Lekharka,524 1 02 10 5 049,Lekharka
ManeBhanjyang,524 1 02 10 5 055,Manebhanjyang
Mulpani,524 1 02 10 5 012,Mulpani
Nagi,524 1 02 10 5 039,Nagi
Nepaledada,524 1 02 10 5 007,Nepaledadha
Okhre,524 1 02 10 5 056,Okharye
Pangcha,524 1 02 10 5 045,Pangcha
PatlePani,524 1 02 10 5 061,Patelepani
Pawala,524 1 02 10 5 044,Pawala
Pyauli,524 1 02 10 5 018,Pyaule
Ranibas,524 1 02 10 5 062,Ranibash
Sangpang,524 1 02 10 5 013,Sangpan
SanoDumma,524 1 02 10 5 030,Sanodhrumma
Shyamsila,524 1 02 10 5 031,Shyamshila
Siddheswor,524 1 02 10 5 025,Siddheshwor
Sindrang,524 1 02 10 5 063,Sindrang
Taksar,524 1 02 10 5 026,Takshar
ThuloDumma,524 1 02 10 5 032,Thulodhrumma
Timma,524 1 02 10 5 040,Timma
TiwariBhangyan,524 1 02 10 5 033,Tiwaribhanjyang
Tunggechha,524 1 02 10 5 014,Tungaychha
Basingtharpur,524 1 02 10 5 047,Washingtharpu
Basteem,524 1 02 10 5 028,Washtim
Yaku,524 1 02 10 5 041,Yaku
Yangpang,524 1 02 10 5 020,Yangpang
Bhubal(Yoon),524 1 02 10 5 048,Yung
Beni,524 1 03 11 5 003,Beni
Bhakanje,524 1 03 11 5 034,Bhakanje
Bung,524 1 03 11 5 014,Bung
Chaulakharka,524 1 03 11 5 032,Chaulakharka
Chheskam,524 1 03 11 5 013,Chheskam
Chaurikharka,524 1 03 11 5 006,Chourikharka
Deusa,524 1 03 11 5 024,Deusa
Garma,524 1 03 11 5 021,Garma
Goli,524 1 03 11 5 033,Goli
Gorakhani,524 1 03 11 5 029,Gorakhani
Gudel,524 1 03 11 5 015,Gudel
Jubu,524 1 03 11 5 018,Jubu
Jubing,524 1 03 11 5 005,Juving
Kangel,524 1 03 11 5 019,Kagel
Kaku,524 1 03 11 5 012,Kanku
Kureng,524 1 03 11 5 031,Kerung
Khumjung,524 1 03 11 5 008,Khumjung
Lokhim,524 1 03 11 5 017,Likhim
Mukali,524 1 03 11 5 023,Mukli
Namche,524 1 03 11 5 007,Namche
NechaBatase,524 1 03 11 5 026,Nechabatase
NechaBedghari,524 1 03 11 5 025,Nechabetghari
Nele,524 1 03 11 5 022,Nele
Panchan,524 1 03 11 5 020,Panchan
Mabe(Pawai),524 1 03 11 5 011,Powai
Sagarmatha National Park,524 1 03 11 9 001,Sagarmatha National Park
Salleri,524 1 03 11 5 001,Salleri
Salyan,524 1 03 11 5 027,Salyan
Sotang,524 1 03 11 5 009,Sotang
Takasindu,524 1 03 11 5 004,Taksindhu
LodingTamakhani,524 1 03 11 5 002,Tamakhani
Tapting,524 1 03 11 5 030,Tapting
Tingla,524 1 03 11 5 028,Tilanga
Baku,524 1 03 11 5 016,Waku
Basa,524 1 03 11 5 010,Wasa
Arkhaule,524 1 03 12 5 034,Aarkhaule
Ainselukharka,524 1 03 12 5 017,Ainselukharka
BadakaDiyale,524 1 03 12 5 061,Baadkadiyale
Badahare,524 1 03 12 5 043,Badahare
Bahunidanda,524 1 03 12 5 037,Bahunidadha
Chyandada,524 1 03 12 5 032,Bajechihaandadha
Bakachol,524 1 03 12 5 018,Bakachol
Baksila,524 1 03 12 5 008,Baksila
Bamrang,524 1 03 12 5 045,Bamrang
Baspani,524 1 03 12 5 009,Banspani
Barahapokhari,524 1 03 12 5 069,Barahapokhari
Batase,524 1 03 12 5 053,Batashea
BijayaKharka,524 1 03 12 5 035,Bijayakharka
Buipa,524 1 03 12 5 036,Buyepa
Dorpachiuridada,524 1 03 12 5 028,Cheuredadha
Chipring,524 1 03 12 5 055,Chipring
Chisapani,524 1 03 12 5 063,Chishapani
Chhitapokhari,524 1 03 12 5 052,Chittapokhari
Chhorambu,524 1 03 12 5 054,Chorambo
Chyasmitar,524 1 03 12 5 038,Chyeshmitar
Dandagaun,524 1 03 12 5 051,Dadhagaun
Damarkhushivalaya,524 1 03 12 5 064,Damarkhushiwalaya
Devisthan,524 1 03 12 5 070,Devisthan
DumreDharapani,524 1 03 12 5 020,Dharapani
Dhitung,524 1 03 12 5 042,Dhitung
Dikuwa,524 1 03 12 5 040,Dikuwa
Diplung,524 1 03 12 5 071,Diplung
Diktel,524 1 03 12 5 044,Ditail
Durchhim,524 1 03 12 5 039,Durcheem
Dubekoldada,524 1 03 12 5 021,Duwekoldanda
Haunchur,524 1 03 12 5 001,Hangchur
Indranipokhari,524 1 03 12 5 056,Indranipokhari
Jalapa,524 1 03 12 5 010,Jalpapur
Jyamire,524 1 03 12 5 022,Jyamire
Kahule,524 1 03 12 5 065,Kaulea
Khalle,524 1 03 12 5 046,Khalle
Kharmi,524 1 03 12 5 011,Kharmi
Kharpa,524 1 03 12 5 002,Kharpa
Khartanchha,524 1 03 12 5 012,Khatamchha
Khidima,524 1 03 12 5 033,Khidima
Khotangbazar,524 1 03 12 5 057,Khotang Bazaar
Kuvinde,524 1 03 12 5 003,Kubhinde
Lafyang,524 1 03 12 5 047,Lafyang
Lamidada,524 1 03 12 5 004,Lamidanda
Lichkiramche,524 1 03 12 5 058,Licchiramche
Linkuwapokhari,524 1 03 12 5 066,Likuwapokhari
Mahadevasthan,524 1 03 12 5 041,Mahadevsthan
Magpa,524 1 03 12 5 019,Makpa
Mangaltar,524 1 03 12 5 007,Mangaltar
MattimBirta,524 1 03 12 5 030,Matimbirta
Mauwabote,524 1 03 12 5 072,Mauwawotee
