p_code,hlcit,vdc
C-BAG-25-031,524 2 05 25 5 005,Malta
C-BAG-25-032,524 2 05 25 5 012,Manikhel
C-BAG-25-033,524 2 05 25 5 006,Nallu
C-BAG-25-034,524 2 05 25 5 007,Pyutar
C-BAG-25-035,524 2 05 25 5 033,Sairbu 
C-BAG-25-036,524 2 05 25 5 013,Sangkhu
C-BAG-25-037,524 2 05 25 5 031,Siddhipur
C-BAG-25-038,524 2 05 25 5 035,Sunakothi
C-BAG-25-039,524 2 05 25 5 036,Thaiba
C-BAG-25-040,524 2 05 25 5 039,Thecho
C-BAG-25-041,524 2 05 25 5 019,Thuladurlung
C-BAG-25-042,524 2 05 25 5 030,Tikathali
C-BAG-26-001,524 2 05 26 5 003,Bageshwari
C-BAG-26-002,524 2 05 26 5 009,Balkot
C-BAG-26-003,524 2 05 26 3 001,Bhaktapur Municipality
C-BAG-26-004,524 2 05 26 5 006,Changunarayan
C-BAG-26-005,524 2 05 26 5 005,Chhaling
C-BAG-26-006,524 2 05 26 5 016,Chitapol
C-BAG-26-007,524 2 05 26 5 011,Dadhikot
C-BAG-26-008,524 2 05 26 5 007,Duwakot
C-BAG-26-009,524 2 05 26 5 013,Gundu
C-BAG-26-010,524 2 05 26 5 008,Jhaukhel
C-BAG-26-011,524 2 05 26 5 012,Katunje
C-BAG-26-012,524 2 05 26 3 002,Madhyapur Thimi Municipality
C-BAG-26-013,524 2 05 26 5 004,Nagarkot
C-BAG-26-014,524 2 05 26 5 014,Nangkhel
C-BAG-26-015,524 2 05 26 5 015,Sipadol
C-BAG-26-016,524 2 05 26 5 010,Sirutar
C-BAG-26-017,524 2 05 26 5 002,Sudal
C-BAG-26-018,524 2 05 26 5 001,Tathali
C-BAG-27-001,524 2 05 27 5 011,Alapot
C-BAG-27-002,524 2 05 27 5 042,Badbhanjyang
C-BAG-27-003,524 2 05 27 5 003,Sangkhu Bajrayogini
C-BAG-27-004,524 2 05 27 5 045,Balambu
C-BAG-27-005,524 2 05 27 5 022,Baluwa
C-BAG-27-006,524 2 05 27 5 007,Bhadrabas
C-BAG-27-007,524 2 05 27 5 037,Bhimdhunga
C-BAG-27-008,524 2 05 27 5 019,Budhanilkantha
C-BAG-27-009,524 2 05 27 5 050,Chalnakhel
C-BAG-27-010,524 2 05 27 5 018,Chapali Bhadrakali
C-BAG-27-011,524 2 05 27 5 055,Chhaimale
C-BAG-27-012,524 2 05 27 5 040,Dahachok
C-BAG-27-013,524 2 05 27 5 016,Chunikhel
C-BAG-27-014,524 2 05 27 5 008,Thalidanchhi
C-BAG-27-015,524 2 05 27 5 054,Dakshinkali
C-BAG-27-016,524 2 05 27 5 027,Dhapasi
C-BAG-27-017,524 2 05 27 5 034,Dharmasthali
C-BAG-27-018,524 2 05 27 5 031,Phutung
C-BAG-27-019,524 2 05 27 5 013,Gagal Phedi
C-BAG-27-020,524 2 05 27 5 023,Gokarneshwar
C-BAG-27-021,524 2 05 27 5 035,Goldhunga
C-BAG-27-022,524 2 05 27 5 028,Gongabu
C-BAG-27-023,524 2 05 27 5 010,Gothatar
C-BAG-27-024,524 2 05 27 5 036,Ichangunarayan
C-BAG-27-025,524 2 05 27 5 006,Indrayani
C-BAG-27-026,524 2 05 27 5 024,Jhormahangkal
C-BAG-27-027,524 2 05 27 5 032,Jitpur Phedi
C-BAG-27-028,524 2 05 27 5 012,Jorpati
C-BAG-27-029,524 2 05 27 5 029,Kabhresthali
C-BAG-27-030,524 2 05 27 5 017,Kapan
C-BAG-27-031,524 2 05 27 1 001,Kathmandu Metropolitan
C-BAG-27-032,524 2 05 27 5 020,Khadka Bhadrakali
C-BAG-27-033,524 2 05 27 3 002,Kirtipur Municipality
C-BAG-27-034,524 2 05 27 5 002,Lapsiphedi
C-BAG-27-035,524 2 05 27 5 049,Machchhegaun
C-BAG-27-036,524 2 05 27 5 046,Mahadevsthan
C-BAG-27-037,524 2 05 27 5 021,Mahangkal
C-BAG-27-038,524 2 05 27 5 033,Manmaijn
C-BAG-27-039,524 2 05 27 5 048,Matatirtha
C-BAG-27-040,524 2 05 27 5 009,Mulpani
C-BAG-27-041,524 2 05 27 5 001,Nanglebhare
C-BAG-27-042,524 2 05 27 5 057,Naikap Naya
C-BAG-27-043,524 2 05 27 5 043,Naikap Purano
C-BAG-27-044,524 2 05 27 5 015,Nayapati
C-BAG-27-045,524 2 05 27 5 005,Pukulachhi
C-BAG-27-046,524 2 05 27 5 038,Ramkot
C-BAG-27-047,524 2 05 27 5 030,Sangla
C-BAG-27-048,524 2 05 27 5 053,Saukhel
C-BAG-27-049,524 2 05 27 5 047,Satungal
C-BAG-27-050,524 2 05 27 5 041,Syuchatar
C-BAG-27-051,524 2 05 27 5 052,Shesh Narayan
C-BAG-27-052,524 2 05 27 5 039,Sitapaila
C-BAG-27-053,524 2 05 27 5 014,Sundarijal
C-BAG-27-054,524 2 05 27 5 004,Sangkhu Suntol
C-BAG-27-055,524 2 05 27 5 051,Talkudunde Chaur
C-BAG-27-056,524 2 05 27 5 044,Thankot
C-BAG-27-057,524 2 05 27 5 056,Tinthana
C-BAG-27-058,524 2 05 27 5 026,Tokhachandeshwari
C-BAG-27-059,524 2 05 27 5 025,Tokhasaraswati
C-BAG-28-001,524 2 05 28 5 036,Bageshwari
C-BAG-28-002,524 2 05 28 5 021,Balkumari
C-BAG-28-003,524 2 05 28 5 050,Barsunchet
C-BAG-28-004,524 2 05 28 5 008,Belkot
C-BAG-28-005,524 2 05 28 5 022,Beteni
C-BAG-28-006,524 2 05 28 5 027,Bhadratar
C-BAG-28-007,524 2 05 28 5 056,Bhalche
C-BAG-28-008,524 2 05 28 3 001,Bidur Municipality
C-BAG-28-009,524 2 05 28 5 044,Budhasing
C-BAG-28-010,524 2 05 28 5 051,Bungtang
C-BAG-28-011,524 2 05 28 5 045,Charghare
C-BAG-28-012,524 2 05 28 5 010,Chaturale
C-BAG-28-013,524 2 05 28 5 028,Chaughoda
C-BAG-28-014,524 2 05 28 5 001,Chauthe
C-BAG-28-015,524 2 05 28 5 015,Chhap
C-BAG-28-016,524 2 05 28 5 046,Dangsing
C-BAG-28-017,524 2 05 28 5 052,Deurali
C-BAG-28-018,524 2 05 28 5 002,Duipipal
C-BAG-28-019,524 2 05 28 5 059,Phikuri
C-BAG-28-020,524 2 05 28 5 037,Ganeshsthan
C-BAG-28-021,524 2 05 28 5 023,Gaunkharka
C-BAG-28-022,524 2 05 28 5 038,Gerkhu
C-BAG-28-023,524 2 05 28 5 030,Ghyangphedi
C-BAG-28-024,524 2 05 28 5 047,Gorsyang
C-BAG-28-025,524 2 05 28 5 011,Jiling
C-BAG-28-026,524 2 05 28 5 029,Kabilas
C-BAG-28-027,524 2 05 28 5 003,Kakani
C-BAG-28-028,524 2 05 28 5 039,Kalika Halldae
C-BAG-28-029,524 2 05 28 5 053,Kalyanpur
C-BAG-28-030,524 2 05 28 5 058,Kaule
C-BAG-28-031,524 2 05 28 5 048,Khadga Bhanjyang
C-BAG-28-032,524 2 05 28 5 041,Kharanitar
C-BAG-28-033,524 2 05 28 5 040,Khanigaun
C-BAG-28-034,524 2 05 28 5 054,Kintang
C-BAG-28-035,524 2 05 28 5 004,Kumari
C-BAG-28-036,524 2 05 28 5 042,Lachyang
C-BAG-28-037,524 2 05 28 5 017,Likhu
C-BAG-28-038,524 2 05 28 5 012,Madanpur
C-BAG-28-039,524 2 05 28 5 018,Mahakali
C-BAG-28-040,524 2 05 28 5 057,Karki Manakamana
C-BAG-28-041,524 2 05 28 5 043,Narjamandap
C-BAG-28-042,524 2 05 28 5 005,Okharpauwa
C-BAG-28-043,524 2 05 28 5 024,Panchakanya
C-BAG-28-044,524 2 05 28 5 031,Ralukadevi
C-BAG-28-045,524 2 05 28 5 020,Ratmate
C-BAG-28-046,524 2 05 28 5 025,Rautbesi
C-BAG-28-047,524 2 05 28 5 060,Salme
C-BAG-28-048,524 2 05 28 5 055,Samari
C-BAG-28-049,524 2 05 28 5 016,Samudradevi Kholegaun
C-BAG-28-050,524 2 05 28 5 032,Samudratar
C-BAG-28-051,524 2 05 28 5 033,Shikharbesi
C-BAG-28-052,524 2 05 28 5 019,Sikre
C-BAG-28-053,524 2 05 28 5 034,Sundaradevi
C-BAG-28-054,524 2 05 28 5 006,Sunkhani
C-BAG-28-055,524 2 05 28 5 013,Suryamati
C-BAG-28-056,524 2 05 28 5 009,Talakhu
C-BAG-28-057,524 2 05 28 5 049,Taruka
C-BAG-28-058,524 2 05 28 5 007,Thanapati
C-BAG-28-059,524 2 05 28 5 014,Thansing
C-BAG-28-060,524 2 05 28 5 026,Thaprek
C-BAG-28-061,524 2 05 28 5 061,Tupche
C-BAG-28-062,524 2 05 28 5 035,Urleni
C-BAG-29-001,524 2 05 29 5 005,Bhorle
C-BAG-29-002,524 2 05 29 5 016,Briddim
C-BAG-29-003,524 2 05 29 5 012,Chilime
C-BAG-29-004,524 2 05 29 5 009,Danda Gaun
C-BAG-29-005,524 2 05 29 5 002,Dhunche
C-BAG-29-006,524 2 05 29 5 011,Gatlang
C-BAG-29-007,524 2 05 29 5 018,Goljung
C-BAG-29-008,524 2 05 29 5 001,Haku
C-BAG-29-009,524 2 05 29 5 006,Jibjibe (Nilkantha)
C-BAG-29-010,524 2 05 29 5 007,Laharepauwa
C-BAG-29-011,524 2 05 29 5 015,Langtang
C-BAG-29-012,524 2 05 29 5 008,Ramche
C-BAG-29-013,524 2 05 29 5 004,Saramthali
C-BAG-29-014,524 2 05 29 5 017,Syaphru
C-BAG-29-015,524 2 05 29 5 010,Thulo Gaun
C-BAG-29-016,524 2 05 29 5 014,Thuman
C-BAG-29-017,524 2 05 29 5 013,Timure
C-BAG-29-018,524 2 05 29 5 003,Yarsa
C-BAG-30-001,524 2 05 30 5 006,Aginchok
C-BAG-30-002,524 2 05 30 5 041,Baireni
C-BAG-30-003,524 2 05 30 5 009,Baseri
C-BAG-30-004,524 2 05 30 5 037,Benighat
C-BAG-30-005,524 2 05 30 5 042,Bhumisthan
C-BAG-30-006,524 2 05 30 5 010,Budhathum
C-BAG-30-007,524 2 05 30 5 030,Chainpur
C-BAG-30-008,524 2 05 30 5 047,Chhatre Deurali
C-BAG-30-009,524 2 05 30 5 001,Darkha
C-BAG-30-010,524 2 05 30 5 021,Dhol
C-BAG-30-011,524 2 05 30 5 038,Dhursa
C-BAG-30-012,524 2 05 30 5 007,Dhuwakot
C-BAG-30-013,524 2 05 30 5 043,Gajuri
C-BAG-30-014,524 2 05 30 5 029,Goganpani
C-BAG-30-015,524 2 05 30 5 011,Gumdi
C-BAG-30-016,524 2 05 30 5 048,Jiwanpur
C-BAG-30-017,524 2 05 30 5 016,Jharlang
C-BAG-30-018,524 2 05 30 5 039,Jogimara
C-BAG-30-019,524 2 05 30 5 023,Jyamruck
C-BAG-30-020,524 2 05 30 5 031,Kalleri
C-BAG-30-021,524 2 05 30 5 002,Katunje
C-BAG-30-022,524 2 05 30 5 036,Kebalpur
C-BAG-30-023,524 2 05 30 5 032,Khalte
C-BAG-30-024,524 2 05 30 5 022,Khari
C-BAG-30-025,524 2 05 30 5 044,Kiranchok
C-BAG-30-026,524 2 05 30 5 033,Kumpur
C-BAG-30-027,524 2 05 30 5 017,Lapa
C-BAG-30-028,524 2 05 30 5 040,Mahadevsthan
C-BAG-30-029,524 2 05 30 5 024,Maidi
C-BAG-30-030,524 2 05 30 5 003,Marpak
C-BAG-30-031,524 2 05 30 5 012,Mulpani
C-BAG-30-032,524 2 05 30 5 025,Muralibhanjyang
C-BAG-30-033,524 2 05 30 5 034,Nalang
C-BAG-30-034,524 2 05 30 5 049,Naubise
C-BAG-30-035,524 2 05 30 5 026,Nilkanth
C-BAG-30-036,524 2 05 30 5 013,Phulkharka
C-BAG-30-037,524 2 05 30 5 045,Pida
C-BAG-30-038,524 2 05 30 5 018,Rigaun
C-BAG-30-039,524 2 05 30 5 028,Salang
C-BAG-30-040,524 2 05 30 5 014,Salyankot
C-BAG-30-041,524 2 05 30 5 008,Salyan Tar
C-BAG-30-042,524 2 05 30 5 027,Sangkos
C-BAG-30-043,524 2 05 30 5 004,Satyadevi
C-BAG-30-044,524 2 05 30 5 019,Semdhung
C-BAG-30-045,524 2 05 30 5 005,Sertung
C-BAG-30-046,524 2 05 30 5 035,Sunaulabajar
C-BAG-30-047,524 2 05 30 5 046,Tasarpu
C-BAG-30-048,524 2 05 30 5 050,Thakre
C-BAG-30-049,524 2 05 30 5 020,Tipling
C-BAG-30-050,524 2 05 30 5 015,Tripura
C-JAN-17-001,524 2 04 17 5 059,Andupatti
C-JAN-17-002,524 2 04 17 5 039,Aurahi
C-JAN-17-003,524 2 04 17 5 038,Baphai
C-JAN-17-004,524 2 04 17 5 060,Baghchauda
C-JAN-17-005,524 2 04 17 5 073,Bahedabela
C-JAN-17-006,524 2 04 17 5 069,Bahuarwa
C-JAN-17-007,524 2 04 17 5 003,Balabakhar
C-JAN-17-008,524 2 04 17 5 017,Balahakathal
C-JAN-17-009,524 2 04 17 5 013,Balahasaghara
C-JAN-17-010,524 2 04 17 5 016,Balahagoth
C-JAN-17-011,524 2 04 17 5 088,Baniniya
C-JAN-17-012,524 2 04 17 5 028,Baramajhiya
C-JAN-17-013,524 2 04 17 5 080,Basahiya
C-JAN-17-014,524 2 04 17 5 082,Basbitti
C-JAN-17-015,524 2 04 17 5 094,Bateshwar
C-JAN-17-016,524 2 04 17 5 097,Bengadawar
C-JAN-17-017,524 2 04 17 5 084,Benga Shivapur
C-JAN-17-018,524 2 04 17 5 027,Bharatpur
C-JAN-17-019,524 2 04 17 5 092,Bhuchakrapur
C-JAN-17-020,524 2 04 17 5 051,Bhutahi Paterwa
C-JAN-17-021,524 2 04 17 5 081,Binhi
C-JAN-17-022,524 2 04 17 5 008,Bisarmhora
C-JAN-17-023,524 2 04 17 5 037,Chakkar
C-JAN-17-024,524 2 04 17 5 004,Chorakoyalpur
C-JAN-17-025,524 2 04 17 5 050,Dhanusha Govindapur
C-JAN-17-026,524 2 04 17 5 076,Devdiha
C-JAN-17-027,524 2 04 17 5 040,Deuriparbaha
C-JAN-17-028,524 2 04 17 5 079,Devpura Rupaitha
C-JAN-17-029,524 2 04 17 5 007,Dhabauli
C-JAN-17-030,524 2 04 17 5 096,Dhalkebar
C-JAN-17-031,524 2 04 17 5 043,Dhanauji
C-JAN-17-032,524 2 04 17 5 049,Dhanushadham
C-JAN-17-033,524 2 04 17 5 101,Digambarpur
C-JAN-17-034,524 2 04 17 5 011,Duwarkot Hatletawa
C-JAN-17-035,524 2 04 17 5 045,Duhawe
C-JAN-17-036,524 2 04 17 5 021,Akrahi
C-JAN-17-037,524 2 04 17 5 077,Phulgama
C-JAN-17-038,524 2 04 17 5 078,Ghodghas
C-JAN-17-039,524 2 04 17 5 025,Tallogodar
C-JAN-17-040,524 2 04 17 5 052,Gopalpur
C-JAN-17-041,524 2 04 17 5 005,Gothkoyalpur
C-JAN-17-042,524 2 04 17 5 058,Hansapur Kathpulla
C-JAN-17-043,524 2 04 17 5 100,Hariharpur
C-JAN-17-044,524 2 04 17 5 009,Harine
C-JAN-17-045,524 2 04 17 5 024,Hathipur Harbara
C-JAN-17-046,524 2 04 17 5 014,Inarwa
C-JAN-17-047,524 2 04 17 5 044,Itaharwa
C-JAN-17-048,524 2 04 17 3 001,Janakpur Municipality
C-JAN-17-049,524 2 04 17 5 046,Jhatiyahi
C-JAN-17-050,524 2 04 17 5 041,Jhojhi Kataiya
C-JAN-17-051,524 2 04 17 5 056,Therakachuri
C-JAN-17-052,524 2 04 17 5 068,Kajararmaul
C-JAN-17-053,524 2 04 17 5 066,Kanakpatti
C-JAN-17-054,524 2 04 17 5 019,Khajuri Chanha
C-JAN-17-055,524 2 04 17 5 032,Kharihani
C-JAN-17-056,524 2 04 17 5 083,Kurtha
C-JAN-17-057,524 2 04 17 5 026,Labatoli
C-JAN-17-058,524 2 04 17 5 075,Lagmagadha Guthi
C-JAN-17-059,524 2 04 17 5 042,Lakhauri
C-JAN-17-060,524 2 04 17 5 012,Lakkar
C-JAN-17-061,524 2 04 17 5 093,Lakshminiwas
C-JAN-17-062,524 2 04 17 5 085,Laksmipur Bagewa
C-JAN-17-063,524 2 04 17 5 067,Lohana
C-JAN-17-064,524 2 04 17 5 018,Pra. Ko. Mahuwa
C-JAN-17-065,524 2 04 17 5 065,Pai. Ko. Mahuwa 
